F1,F2,F3,Target
-29.3,-3.987496313,-23.42530894,A
-59.9,-9.196280858,-54.02530894,A
-28.7,-3.885363282,-22.82530894,A
-2.54,0.567636838,3.33469106,A
12.6,3.144793636,18.47469106,A
18.5,4.149101767,24.37469106,A
-3.35,0.429757248,2.52469106,A
5.74,1.977072656,11.61469106,A
12.3,3.093727121,18.17469106,A
-6.11,-0.040054692,-0.23530894,A
9.51,2.61880853,15.38469106,A
25.3,5.306609444,31.17469106,A
46.8,8.966376363,52.67469106,A
1.92,1.326825697,7.79469106,A
33.8,6.75349404,39.67469106,A
-27.4,-3.66407505,-21.52530894,A
-60.9,-9.366502575,-55.02530894,A
-81.8,-12.92413646,-75.92530894,A
-52.5,-7.936640151,-46.62530894,A
9,2.531995454,14.87469106,A
9.6,2.634128485,15.47469106,A
24.9,5.238520757,30.77469106,A
15.5,3.638436616,21.37469106,A
-73.7,-11.54534055,-67.82530894,A
21.2,4.608700404,27.07469106,A
3.84,1.653651394,9.71469106,A
-11.4,-0.940527576,-5.52530894,A
15.6,3.655458788,21.47469106,A
27.5,5.681097222,33.37469106,A
12.8,3.17883798,18.67469106,A
9.39,2.598381924,15.26469106,A
-11.5,-0.957549747,-5.62530894,A
25.8,5.391720303,31.67469106,A
-89.8,-14.2859102,-83.92530894,A
-73.4,-11.49427404,-67.52530894,A
-28.7,-3.885363282,-22.82530894,A
1.66,1.28256805,7.53469106,A
4.16,1.708122343,10.03469106,A
1.02,1.173626152,6.89469106,A
-23.9,-3.06829904,-18.02530894,A
-16,-1.723547475,-10.12530894,A
6.83,2.162614328,12.70469106,A
-27.7,-3.715141565,-21.82530894,A
19.4,4.302301313,25.27469106,A
-68.4,-10.64316545,-62.52530894,A
-0.446,0.924081114,5.42869106,A
-84.2,-13.33266858,-78.32530894,A
-36,-5.127981818,-30.12530894,A
-33.6,-4.719449696,-27.72530894,A
-25,-3.255542929,-19.12530894,A
15.7,3.672480959,21.57469106,A
54.1,10.2089949,59.97469106,A
18.2,4.098035252,24.07469106,A
11.6,2.974571919,17.47469106,A
16.3,3.77461399,22.17469106,A
5.9,2.004308131,11.77469106,A
35.9,7.110959646,41.77469106,A
-19,-2.234212626,-13.12530894,A
17.8,4.029946565,23.67469106,A
5.81,1.988988177,11.68469106,A
20.6,4.506567373,26.47469106,A
-97.7,-15.63066177,-91.82530894,A
-21.2,-2.608700404,-15.32530894,A
1.1,1.187243889,6.97469106,A
4.16,1.708122343,10.03469106,A
10.4,2.770305858,16.27469106,A
-22.4,-2.812966464,-16.52530894,A
37.9,7.45140308,43.77469106,A
1.15,1.195754975,7.02469106,A
-45.5,-6.745088131,-39.62530894,A
-75.8,-11.90280616,-69.92530894,A
3.86,1.657055828,9.73469106,A
-49.7,-7.460019343,-43.82530894,A
-16.3,-1.77461399,-10.42530894,A
-41.6,-6.081223434,-35.72530894,A
-29,-3.936429798,-23.12530894,A
23.2,4.949143838,29.07469106,A
-5.78,0.016118475,0.09469106,A
1.07,1.182137237,6.94469106,A
-62.7,-9.672901666,-56.82530894,A
5.57,1.948134965,11.44469106,A
0.834,1.141964912,6.70869106,A
-18.4,-2.132079596,-12.52530894,A
-49.2,-7.374908484,-43.32530894,A
-13.3,-1.263948838,-7.42530894,A
46.7,8.949354191,52.57469106,A
-68.6,-10.6772098,-62.72530894,A
-0.966,0.835565821,4.90869106,A
-17.6,-1.995902222,-11.72530894,A
20.5,4.489545202,26.37469106,A
53.4,10.0898397,59.27469106,A
-15.4,-1.621414444,-9.52530894,A
-59.7,-9.162236514,-53.82530894,A
-20.5,-2.489545202,-14.62530894,A
-11.1,-0.88946106,-5.22530894,A
26.1,5.442786818,31.97469106,A
-21.2,-2.608700404,-15.32530894,A
19.6,4.336345656,25.47469106,A
-45.2,-6.694021615,-39.32530894,A
-51.8,-7.817484949,-45.92530894,A
0.727,1.123751188,6.60169106,A
-16,-1.723547475,-10.12530894,A
-4.39,0.252726662,1.48469106,A
-17.2,-1.927813535,-11.32530894,A
-4.21,0.283366571,1.66469106,A
-54.9,-8.345172272,-49.02530894,A
29.1,5.953451969,34.97469106,A
-1.94,0.669769869,3.93469106,A
-45.2,-6.694021615,-39.32530894,A
-10.6,-0.804350202,-4.72530894,A
-44.7,-6.608910757,-38.82530894,A
17.8,4.029946565,23.67469106,A
-26.3,-3.476831161,-20.42530894,A
5.74,1.977072656,11.61469106,A
3.61,1.614500399,9.48469106,A
-44.6,-6.591888585,-38.72530894,A
-20.9,-2.557633889,-15.02530894,A
-21.3,-2.625722575,-15.42530894,A
19.3,4.285279141,25.17469106,A
-11.3,-0.923505404,-5.42530894,A
-11.3,-0.923505404,-5.42530894,A
-13.1,-1.229904495,-7.22530894,A
-25.8,-3.391720303,-19.92530894,A
-27.3,-3.647052878,-21.42530894,A
-1.65,0.719134167,4.22469106,A
25.6,5.357675959,31.47469106,A
5.1,1.868130758,10.97469106,A
-48,-7.170642424,-42.12530894,A
18.5,4.149101767,24.37469106,A
0.79,1.134475157,6.66469106,A
-13.3,-1.263948838,-7.42530894,A
10.4,2.770305858,16.27469106,A
-3.85,0.344646389,2.02469106,A
-35.1,-4.974782272,-29.22530894,A
-26.9,-3.578964192,-21.02530894,A
-12.8,-1.17883798,-6.92530894,A
7.24,2.232405232,13.11469106,A
6.95,2.183040934,12.82469106,A
33.6,6.719449696,39.47469106,A
0.527,1.089706845,6.40169106,A
-12.1,-1.059682778,-6.22530894,A
6.32,2.075801252,12.19469106,A
59.7,11.16223651,65.57469106,A
-10.8,-0.838394545,-4.92530894,A
-20.9,-2.557633889,-15.02530894,A
-6.18,-0.051970212,-0.30530894,A
5.13,1.873237409,11.00469106,A
-35.8,-5.093937474,-29.92530894,A
4.23,1.720037864,10.10469106,A
27.1,5.613008535,32.97469106,A
32.9,6.600294494,38.77469106,A
-37.6,-5.400336565,-31.72530894,A
-30.1,-4.123673686,-24.22530894,A
-4.93,0.160806934,0.94469106,A
-45.4,-6.728065959,-39.52530894,A
10.5,2.78732803,16.37469106,A
6.5,2.106441162,12.37469106,A
-4.18,0.288473222,1.69469106,A
-21.3,-2.625722575,-15.42530894,A
-3.22,0.451886071,2.65469106,A
7.81,2.329431611,13.68469106,A
28.6,5.868341111,34.47469106,A
-9.56,-0.627319616,-3.68530894,A
-9.51,-0.61880853,-3.63530894,A
9.21,2.567742015,15.08469106,A
42,8.149312121,47.87469106,A
19,4.234212626,24.87469106,A
39.4,7.706735656,45.27469106,A
25.6,5.357675959,31.47469106,A
-11.4,-0.940527576,-5.52530894,A
3.67,1.624713702,9.54469106,A
-10,-0.702217172,-4.12530894,A
-51.4,-7.749396262,-45.52530894,A
26.7,5.544919848,32.57469106,A
4.64,1.789828768,10.51469106,A
8.22,2.399222515,14.09469106,A
21.8,4.710833434,27.67469106,A
-89.4,-14.21782151,-83.52530894,A
24.8,5.221498585,30.67469106,A
12.6,3.144793636,18.47469106,A
42.1,8.166334292,47.97469106,A
3.67,1.624713702,9.54469106,A
7.35,2.251129621,13.22469106,A
14,3.38310404,19.87469106,A
0.781,1.132943161,6.65569106,A
-11.1,-0.88946106,-5.22530894,A
-1.59,0.72934747,4.28469106,A
18.5,4.149101767,24.37469106,A
8.98,2.52859102,14.85469106,A
-29.4,-4.004518484,-23.52530894,A
-3.42,0.417841727,2.45469106,A
-36,-5.127981818,-30.12530894,A
-29,-3.936429798,-23.12530894,A
-4.31,0.266344399,1.56469106,A
-5.42,0.077398293,0.45469106,A
20.9,4.557633889,26.77469106,A
-43.7,-6.43868904,-37.82530894,A
8.82,2.501355545,14.69469106,A
-48.3,-7.221708939,-42.42530894,A
3.67,1.624713702,9.54469106,A
11.3,2.923505404,17.17469106,A
0.0101,1.001719239,5.88479106,A
-99,-15.85195,-93.12530894,A
19.9,4.387412171,25.77469106,A
23.8,5.051276868,29.67469106,A
22.8,4.881055151,28.67469106,A
-24.4,-3.153409899,-18.52530894,A
8.31,2.41454247,14.18469106,A
-0.468,0.920336236,5.40669106,A
-0.143,0.975658294,5.73169106,A
-12,-1.042660606,-6.12530894,A
-52.4,-7.919617979,-46.52530894,A
-89.9,-14.30293237,-84.02530894,A
2.04,1.347252303,7.91469106,A
10.5,2.78732803,16.37469106,A
8.9,2.514973283,14.77469106,A
42.2,8.183356464,48.07469106,A
17.7,4.012924394,23.57469106,A
-6.25,-0.063885732,-0.37530894,A
6.91,2.176232066,12.78469106,A
-15.8,-1.689503131,-9.92530894,A
12.7,3.161815808,18.57469106,A
-27.1,-3.613008535,-21.22530894,A
-0.67,0.88595145,5.20469106,A
-99.1,-15.86897217,-93.22530894,A
-19.7,-2.353367828,-13.82530894,A
17.1,3.910791363,22.97469106,A
14,3.38310404,19.87469106,A
9.33,2.588168621,15.20469106,A
4.85,1.825575328,10.72469106,A
10.5,2.78732803,16.37469106,A
1.55,1.263843662,7.42469106,A
-3.43,0.41613951,2.44469106,A
24.1,5.102343383,29.97469106,A
29,5.936429798,34.87469106,A
-5.2,0.114847071,0.67469106,A
-16.3,-1.77461399,-10.42530894,A
41.2,8.013134747,47.07469106,A
13,3.212882323,18.87469106,A
-8.73,-0.486035591,-2.85530894,A
-77,-12.10707222,-71.12530894,A
-25.4,-3.323631616,-19.52530894,A
23.7,5.034254697,29.57469106,A
10.8,2.838394545,16.67469106,A
-8.97,-0.526888803,-3.09530894,A
16.8,3.859724848,22.67469106,A
15.6,3.655458788,21.47469106,A
-4.67,0.205064581,1.20469106,A
-2.24,0.618703354,3.63469106,A
-20.9,-2.557633889,-15.02530894,A
-51.9,-7.83450712,-46.02530894,A
-61.4,-9.451613433,-55.52530894,A
60.4,11.28139172,66.27469106,A
-10.5,-0.78732803,-4.62530894,A
-45.7,-6.779132474,-39.82530894,A
10.2,2.736261515,16.07469106,A
-44,-6.489755555,-38.12530894,A
-21.1,-2.591678232,-15.22530894,A
-50.9,-7.664285403,-45.02530894,A
-24.4,-3.153409899,-18.52530894,A
