F1,Target
-2.80E-08,G
-1.96E-08,G
-4.05E-09,G
-2.73E-08,G
-1.06E-08,G
-1.13E-08,G
1.21E-08,G
1.12E-08,G
3.42E-09,G
-4.18E-09,G
-4.63E-09,G
-4.64E-09,G
4.94E-09,G
1.23E-08,G
-3.51E-09,G
4.22E-09,G
4.26E-09,G
-3.64E-09,G
-4.00E-09,G
-4.11E-09,G
3.85E-09,G
2.06E-08,G
1.23E-08,G
2.03E-08,G
4.97E-09,G
2.06E-08,G
1.24E-08,G
1.23E-08,G
4.47E-09,G
-3.72E-09,G
1.27E-08,G
4.39E-09,G
2.02E-08,G
3.62E-08,G
2.84E-08,G
3.63E-08,G
4.47E-08,G
3.71E-08,G
3.75E-08,G
3.76E-08,G
3.82E-08,G
2.99E-08,G
2.94E-08,G
5.31E-08,G
4.51E-08,G
3.74E-08,G
5.43E-08,G
6.22E-08,G
5.45E-08,G
4.68E-08,G
6.22E-08,G
7.05E-08,G
6.23E-08,G
3.83E-08,G
3.74E-08,G
5.36E-08,G
6.17E-08,G
5.33E-08,G
5.36E-08,G
5.35E-08,G
6.11E-08,G
3.67E-08,G
5.32E-08,G
5.32E-08,G
2.97E-08,G
1.37E-08,G
2.14E-08,G
2.13E-08,G
1.33E-08,G
1.40E-08,G
1.41E-08,G
6.35E-09,G
2.24E-08,G
1.40E-08,G
1.38E-08,G
2.19E-08,G
1.38E-08,G
2.98E-08,G
2.93E-08,G
3.75E-08,G
3.77E-08,G
4.54E-08,G
4.56E-08,G
4.54E-08,G
4.53E-08,G
3.73E-08,G
5.38E-08,G
4.50E-08,G
5.36E-08,G
3.79E-08,G
2.19E-08,G
2.15E-08,G
4.63E-08,G
3.79E-08,G
3.70E-08,G
2.84E-08,G
3.65E-08,G
4.39E-08,G
4.35E-08,G
5.20E-08,G
3.67E-08,G
4.51E-08,G
5.22E-08,G
4.40E-08,G
4.32E-08,G
3.47E-08,G
5.93E-08,G
4.30E-08,G
3.46E-08,G
4.26E-08,G
5.88E-08,G
2.72E-08,G
3.49E-08,G
2.65E-08,G
3.47E-08,G
3.43E-08,G
3.38E-08,G
2.52E-08,G
2.51E-08,G
2.53E-08,G
3.30E-08,G
4.17E-08,G
3.41E-08,G
3.46E-08,G
4.24E-08,G
3.47E-08,G
3.38E-08,G
4.25E-08,G
5.06E-08,G
4.33E-08,G
4.98E-08,G
5.71E-08,G
5.02E-08,G
5.00E-08,G
6.62E-08,G
5.90E-08,G
5.88E-08,G
6.62E-08,G
5.78E-08,G
4.22E-08,G
5.79E-08,G
7.45E-08,G
6.70E-08,G
5.10E-08,G
7.43E-08,G
7.43E-08,G
7.48E-08,G
8.26E-08,G
7.51E-08,G
5.94E-08,G
7.49E-08,G
7.55E-08,G
5.97E-08,G
6.72E-08,G
5.94E-08,G
4.33E-08,G
5.13E-08,G
3.47E-08,G
2.71E-08,G
3.60E-08,G
4.35E-08,G
4.35E-08,G
3.55E-08,G
3.59E-08,G
1.98E-08,G
1.15E-08,G
3.88E-09,G
1.10E-08,G
1.15E-08,G
1.11E-08,G
1.93E-08,G
-1.33E-08,G
-4.23E-09,G
-4.24E-09,G
-1.25E-08,G
-4.75E-09,G
2.77E-08,G
1.94E-08,G
3.56E-08,G
4.33E-08,G
-2.06E-08,G
-5.15E-09,G
-1.30E-08,G
1.20E-08,G
3.83E-09,G
3.69E-09,G
3.51E-08,G
4.00E-09,G
4.26E-09,G
1.18E-08,G
-3.73E-09,G
3.55E-09,G
2.71E-08,G
3.47E-08,G
3.52E-08,G
2.67E-08,G
2.66E-08,G
2.69E-08,G
3.53E-08,G
2.78E-08,G
4.33E-08,G
4.21E-08,G
2.64E-08,G
3.42E-08,G
2.63E-08,G
3.44E-08,G
1.04E-08,G
1.12E-08,G
3.48E-08,G
3.46E-08,G
4.28E-08,G
4.30E-08,G
2.62E-08,G
3.47E-08,G
3.44E-08,G
4.28E-08,G
5.85E-08,G
4.20E-08,G
1.85E-08,G
2.57E-08,G
2.65E-08,G
2.67E-08,G
2.63E-08,G
1.86E-08,G
3.42E-08,G
1.10E-08,G
1.04E-08,G
2.08E-09,G
2.56E-08,G
4.99E-08,G
3.49E-08,G
3.50E-08,G
4.41E-08,G
1.96E-08,G
3.59E-08,G
2.00E-08,G
1.20E-08,G
1.23E-08,G
1.26E-08,G
2.04E-08,G
1.25E-08,G
2.00E-08,G
4.66E-09,G
4.44E-09,G
4.65E-09,G
1.28E-08,G
-3.23E-09,G
1.28E-08,G
1.26E-08,G
-4.45E-09,G
-4.48E-09,G
-2.04E-08,G
-1.16E-08,G
-3.02E-09,G
1.35E-08,G
-3.72E-09,G
-1.26E-08,G
1.15E-08,G
-4.43E-09,G
3.42E-09,G
-2.04E-08,G
1.96E-08,G
1.18E-08,G
1.23E-08,G
3.45E-09,G
2.02E-08,G
1.26E-08,G
3.96E-09,G
4.41E-09,G
-4.24E-09,G
3.35E-09,G
3.38E-09,G
-1.25E-08,G
3.20E-09,G
-4.87E-09,G
-2.08E-08,G
-1.32E-08,G
-2.11E-08,G
-1.28E-08,G
-4.84E-09,G
-1.26E-08,G
-2.87E-08,G
-4.20E-09,G
-3.56E-09,G
-1.15E-08,G
-4.45E-09,G
-1.23E-08,G
-1.25E-08,G
-1.28E-08,G
-2.85E-08,G
-2.03E-08,G
-2.01E-08,G
-3.61E-08,G
-3.61E-08,G
-3.54E-08,G
-2.74E-08,G
-3.64E-08,G
-4.36E-08,G
-3.53E-08,G
-3.55E-08,G
-2.83E-08,G
-4.47E-08,G
-3.60E-08,G
-1.96E-08,G
-2.74E-08,G
-2.79E-08,G
-4.43E-08,G
-4.38E-08,G
-2.79E-08,G
-2.76E-08,G
-4.34E-08,G
-2.85E-08,G
-3.61E-08,G
-4.40E-08,G
-3.68E-08,G
-2.04E-08,G
-2.81E-08,G
-1.94E-08,G
-1.89E-08,G
-1.91E-08,G
-2.63E-08,G
-5.10E-08,G
-4.35E-08,G
-3.53E-08,G
-4.34E-08,G
-2.72E-08,G
-3.44E-08,G
-4.26E-08,G
-5.94E-08,G
-4.37E-08,G
-4.26E-08,G
-4.25E-08,G
-3.51E-08,G
-3.53E-08,G
-6.78E-08,G
-5.24E-08,G
-4.37E-08,G
-5.93E-08,G
-5.13E-08,G
-4.31E-08,G
-5.12E-08,G
-5.89E-08,G
-5.93E-08,G
-5.98E-08,G
-6.74E-08,G
-5.98E-08,G
-5.18E-08,G
-6.02E-08,G
-6.05E-08,G
-7.67E-08,G
-6.83E-08,G
-8.45E-08,G
-6.00E-08,G
-7.55E-08,G
-7.59E-08,G
-6.02E-08,G
-6.82E-08,G
-6.75E-08,G
-4.36E-08,G
-5.24E-08,G
-5.18E-08,G
-5.18E-08,G
-5.10E-08,G
-5.97E-08,G
-4.25E-08,G
-4.23E-08,G
-4.23E-08,G
-4.23E-08,G
-5.06E-08,G
-5.04E-08,G
-4.29E-08,G
-1.86E-08,G
-2.63E-08,G
-4.22E-08,G
-2.62E-08,G
-1.84E-08,G
-4.23E-08,G
-5.83E-08,G
-5.07E-08,G
-5.05E-08,G
-3.35E-08,G
-4.20E-08,G
-3.52E-08,G
-5.10E-08,G
-3.50E-08,G
-3.50E-08,G
-5.03E-08,G
-2.72E-08,G
-3.54E-08,G
-3.55E-08,G
-1.93E-08,G
-2.66E-08,G
-5.85E-08,G
-4.98E-08,G
-2.60E-08,G
-2.59E-08,G
-2.52E-08,G
-1.76E-08,G
-2.57E-08,G
-2.56E-08,G
-1.69E-08,G
-2.49E-08,G
-2.48E-08,G
-4.07E-08,G
-2.55E-08,G
-4.12E-08,G
-4.08E-08,G
-4.09E-08,G
-5.62E-08,G
-4.01E-08,G
-4.02E-08,G
-4.86E-08,G
-4.84E-08,G
-4.90E-08,G
-4.84E-08,G
-5.64E-08,G
-7.25E-08,G
-4.03E-08,G
-4.09E-08,G
-4.73E-08,G
-3.94E-08,G
-4.76E-08,G
-4.73E-08,G
-4.70E-08,G
-4.68E-08,G
-3.97E-08,G
-3.93E-08,G
-4.74E-08,G
-4.74E-08,G
-7.12E-08,G
-6.29E-08,G
-6.25E-08,G
-7.22E-08,G
-5.58E-08,G
-6.38E-08,G
-5.64E-08,G
-5.61E-08,G
-4.81E-08,G
-4.83E-08,G
-4.82E-08,G
-4.88E-08,G
-4.82E-08,G
-4.04E-08,G
-5.59E-08,G
-5.53E-08,G
-7.13E-08,G
-6.40E-08,G
-8.02E-08,G
-7.99E-08,G
-6.31E-08,G
-6.29E-08,G
-4.78E-08,G
-5.63E-08,G
-4.13E-08,G
-7.35E-08,G
-5.63E-08,G
-6.31E-08,G
-7.13E-08,G
-5.58E-08,G
-6.39E-08,G
-3.91E-08,G
-7.13E-08,G
-8.73E-08,G
-7.94E-08,G
-4.69E-08,G
-4.77E-08,G
-5.62E-08,G
-4.75E-08,G
-3.12E-08,G
-1.53E-08,G
-2.30E-08,G
-1.50E-08,G
-3.13E-08,G
-2.31E-08,G
-3.05E-08,G
-1.41E-08,G
-2.19E-08,G
-1.37E-08,G
-2.15E-08,G
-4.57E-08,G
-3.81E-08,G
-3.81E-08,G
-4.61E-08,G
-4.64E-08,G
-3.77E-08,G
-2.10E-08,G
-2.09E-08,G
-2.03E-08,G
-1.23E-08,G
-2.09E-08,G
-2.15E-08,G
-5.33E-09,G
-1.31E-08,G
-1.31E-08,G
-2.20E-08,G
-5.61E-09,G
2.14E-09,G
1.63E-09,G
1.80E-09,G
-5.68E-09,G
2.96E-09,G
1.07E-08,G
1.74E-09,G
-3.00E-08,G
-2.18E-08,G
-5.64E-09,G
-1.34E-08,G
2.48E-09,G
-5.69E-09,G
-5.74E-09,G
1.16E-09,G
2.61E-09,G
2.44E-09,G
1.85E-08,G
1.98E-08,G
-4.32E-09,G
1.13E-08,G
-5.48E-09,G
-5.09E-09,G
-2.06E-08,G
-4.64E-09,G
1.94E-08,G
3.58E-09,G
-1.24E-08,G
-3.79E-09,G
-1.23E-08,G
-4.59E-09,G
1.93E-08,G
1.20E-08,G
-4.00E-09,G
-3.70E-09,G
-1.20E-08,G
-1.16E-08,G
-1.15E-08,G
5.09E-09,G
-3.09E-09,G
-3.64E-08,G
-3.64E-08,G
-2.83E-08,G
-3.60E-08,G
-5.20E-08,G
-4.44E-08,G
-2.85E-08,G
-1.20E-08,G
-1.17E-08,G
-3.70E-09,G
-1.99E-08,G
-1.95E-08,G
4.20E-09,G
4.11E-09,G
1.22E-08,G
1.23E-08,G
-1.25E-08,G
-5.30E-09,G
2.88E-09,G
1.12E-08,G
1.18E-08,G
1.15E-08,G
3.75E-09,G
-4.55E-09,G
1.11E-08,G
3.31E-09,G
3.50E-09,G
3.62E-09,G
1.04E-08,G
1.06E-08,G
1.83E-08,G
1.83E-08,G
1.04E-08,G
1.05E-08,G
1.89E-08,G
3.21E-09,G
9.20E-09,G
9.26E-09,G
2.16E-09,G
2.52E-09,G
1.04E-08,G
2.67E-08,G
1.07E-08,G
-5.31E-09,G
1.74E-08,G
2.40E-09,G
-4.02E-09,G
3.87E-09,G
1.96E-08,G
1.10E-08,G
-5.78E-09,G
-4.96E-09,G
1.11E-08,G
-4.70E-09,G
-4.69E-09,G
-1.36E-08,G
-6.05E-09,G
-6.07E-09,G
-5.78E-09,G
-1.38E-08,G
1.19E-09,G
-1.45E-08,G
8.99E-11,G
-2.42E-08,G
-2.38E-08,G
-6.64E-09,G
-6.84E-09,G
8.99E-09,G
-6.86E-09,G
1.65E-09,G
-6.88E-09,G
-6.69E-09,G
6.55E-10,G
2.75E-10,G
-8.08E-09,G
-1.61E-10,G
8.24E-09,G
5.71E-10,G
-1.64E-10,G
1.39E-10,G
-7.38E-09,G
-6.78E-09,G
-1.42E-08,G
1.15E-09,G
1.10E-09,G
-7.52E-09,G
-2.38E-08,G
-1.54E-08,G
-2.37E-08,G
7.57E-10,G
1.40E-09,G
1.01E-08,G
1.05E-08,G
2.18E-09,G
9.57E-09,G
-6.67E-09,G
-6.20E-09,G
-1.41E-08,G
-2.24E-08,G
1.86E-09,G
-6.16E-09,G
-1.36E-08,G
-1.35E-08,G
-1.37E-08,G
-1.40E-08,G
-1.41E-08,G
-6.68E-09,G
1.47E-09,G
1.23E-09,G
1.74E-08,G
1.72E-08,G
9.62E-09,G
9.52E-09,G
9.18E-09,G
9.28E-09,G
-6.13E-09,G
2.53E-09,G
-4.96E-09,G
1.14E-08,G
3.56E-09,G
1.86E-08,G
2.80E-09,G
-4.91E-09,G
3.31E-09,G
-5.61E-09,G
1.05E-08,G
1.81E-08,G
1.01E-08,G
9.68E-09,G
1.57E-09,G
9.98E-09,G
1.15E-09,G
3.28E-10,G
8.90E-09,G
8.97E-09,G
-7.70E-09,G
8.63E-09,G
8.63E-10,G
1.68E-08,G
-7.66E-09,G
-7.47E-09,G
-2.35E-08,G
-2.33E-08,G
-1.48E-08,G
-1.51E-08,G
7.52E-10,G
7.84E-10,G
-7.53E-09,G
-7.81E-09,G
-1.55E-08,G
-1.58E-08,G
-8.73E-09,G
-1.63E-08,G
-1.64E-10,G
1.98E-10,G
-2.44E-08,G
-8.89E-09,G
-2.40E-10,G
1.69E-08,G
4.97E-10,G
1.73E-09,G
-5.92E-09,G
-6.09E-09,G
1.95E-09,G
-6.68E-09,G
-1.46E-08,G
-6.21E-09,G
1.83E-08,G
1.84E-08,G
-5.33E-09,G
1.88E-08,G
2.53E-09,G
1.00E-08,G
2.14E-09,G
-5.19E-09,G
-6.13E-09,G
9.76E-09,G
1.85E-09,G
-6.31E-09,G
1.49E-09,G
-6.25E-09,G
2.18E-09,G
2.00E-09,G
9.22E-09,G
-6.27E-09,G
-1.44E-08,G
1.30E-09,G
1.67E-08,G
8.62E-09,G
9.29E-09,G
9.72E-09,G
-6.34E-09,G
9.10E-09,G
1.03E-09,G
9.92E-10,G
1.15E-09,G
2.89E-10,G
-7.76E-09,G
-8.11E-09,G
-7.54E-09,G
1.76E-08,G
2.60E-08,G
-6.16E-09,G
1.73E-08,G
2.54E-08,G
1.79E-08,G
2.55E-08,G
9.74E-09,G
9.46E-09,G
1.96E-09,G
-6.69E-09,G
-6.10E-09,G
-4.99E-09,G
1.92E-08,G
-1.37E-08,G
-5.37E-09,G
1.02E-08,G
1.05E-08,G
1.06E-08,G
-1.31E-08,G
-5.64E-09,G
1.05E-08,G
2.37E-09,G
-4.98E-09,G
-2.89E-08,G
-2.14E-08,G
-2.98E-08,G
-5.33E-09,G
-2.94E-08,G
-3.03E-08,G
-1.41E-08,G
-3.01E-08,G
-2.23E-08,G
-5.94E-09,G
-2.23E-08,G
1.38E-09,G
1.02E-08,G
9.85E-09,G
1.76E-08,G
9.83E-09,G
1.05E-08,G
1.01E-08,G
1.76E-08,G
9.63E-09,G
2.00E-09,G
9.62E-10,G
8.01E-09,G
7.96E-09,G
-1.47E-08,G
-6.28E-09,G
-6.00E-09,G
2.28E-09,G
1.86E-09,G
1.77E-08,G
9.75E-09,G
1.09E-08,G
1.10E-08,G
1.15E-08,G
-4.08E-09,G
1.15E-08,G
-4.07E-09,G
-4.20E-09,G
-1.13E-08,G
2.02E-08,G
1.90E-08,G
1.11E-08,G
1.12E-08,G
2.00E-08,G
2.05E-08,G
1.96E-08,G
2.68E-08,G
2.79E-08,G
2.89E-08,G
1.30E-08,G
2.08E-08,G
2.14E-08,G
1.26E-08,G
1.25E-08,G
2.08E-08,G
4.27E-09,G
1.99E-08,G
1.19E-08,G
2.76E-08,G
3.57E-09,G
4.07E-09,G
