F1,F2,F3,F4,F5,F6,F7,F8,label
-3.16E-08,1,-2.5886248,2.80E-10,1.52E-10,4.82E-10,4.67E-11,7.93E-10,T
-2.17E-08,1,-1.777631587,1.98E-10,1.52E-10,4.00E-10,1.29E-10,7.10E-10,T
-3.72E-08,1,-3.047368436,3.27E-10,1.52E-10,5.29E-10,0,8.39E-10,T
-3.44E-08,1,-2.817996618,3.04E-10,1.52E-10,5.06E-10,2.33E-11,8.16E-10,T
-2.15E-08,1,-1.761247886,1.96E-10,1.52E-10,3.98E-10,1.31E-10,7.08E-10,T
-2.80E-08,1,-2.293718177,2.50E-10,1.52E-10,4.53E-10,7.67E-11,7.63E-10,T
-2.80E-08,1,-2.293718177,2.50E-10,1.52E-10,4.53E-10,7.67E-11,7.63E-10,T
-2.15E-08,1,-1.761247886,1.96E-10,1.52E-10,3.98E-10,1.31E-10,7.08E-10,T
-2.12E-08,1,-1.736672334,1.94E-10,1.52E-10,3.96E-10,1.33E-10,7.06E-10,T
-2.77E-08,1,-2.269142625,2.48E-10,1.52E-10,4.50E-10,7.92E-11,7.60E-10,T
-2.49E-08,1,-2.039770808,2.25E-10,1.52E-10,4.27E-10,1.03E-10,7.37E-10,T
-1.50E-08,1,-1.228777595,1.42E-10,1.52E-10,3.44E-10,1.85E-10,6.54E-10,T
-2.20E-08,1,-1.802207139,2.00E-10,1.52E-10,4.03E-10,1.27E-10,7.13E-10,T
-1.27E-08,1,-1.04036503,1.23E-10,1.52E-10,3.25E-10,2.04E-10,6.35E-10,T
-9.22E-09,1,-0.755288628,9.40E-11,1.52E-10,2.96E-10,2.33E-10,6.06E-10,T
-1.31E-08,1,-1.073132433,1.26E-10,1.52E-10,3.28E-10,2.01E-10,6.38E-10,T
-9.15E-09,1,-0.749554333,9.34E-11,1.52E-10,2.95E-10,2.34E-10,6.05E-10,T
-1.32E-08,1,-1.081324284,1.27E-10,1.52E-10,3.29E-10,2.00E-10,6.39E-10,T
-9.69E-09,1,-0.793790326,9.79E-11,1.52E-10,3.00E-10,2.29E-10,6.10E-10,T
-1.01E-08,1,-0.827376914,1.01E-10,1.52E-10,3.03E-10,2.26E-10,6.13E-10,T
-2.34E-10,1,-0.01916893,1.91E-11,1.52E-10,2.21E-10,3.08E-10,5.31E-10,T
-6.42E-09,1,-0.525916811,7.06E-11,1.52E-10,2.73E-10,2.57E-10,5.83E-10,T
